,Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry,RMax,RNez
917,917,693,618,39,0,-156,7999,8816,8.0859375,8.26171875,31.640625,8.0859375
918,918,542,647,53,0,-130,3498,2564,4.5703125,4.74609375,25.83984375,4.5703125
919,919,517,734,57,0,36,5806,5574,2.98828125,3.1640625,3.1640625,2.98828125
920,920,598,462,19,0,59,8169,6844,5.80078125,5.9765625,11.42578125,5.80078125
921,921,592,663,6,0,-84,9842,10152,5.9765625,6.15234375,20.390625,5.9765625
922,922,726,451,-22,0,-27,5716,6350,5.625,5.80078125,8.4375,5.625
923,923,462,519,51,0,32,3263,3734,2.8125,2.98828125,3.69140625,2.8125
924,924,453,607,-42,0,-2,9281,8410,4.21875,4.39453125,5.625,4.21875
925,925,505,596,43,0,-154,2879,2441,4.04296875,4.21875,24.43359375,4.04296875
926,926,742,538,6,0,111,4553,5570,5.625,5.80078125,21.09375,5.625
927,927,542,487,-11,0,-179,4427,2991,5.09765625,5.2734375,26.3671875,5.09765625
928,928,589,712,11,0,-37,9350,9662,3.8671875,4.04296875,8.96484375,3.8671875
929,929,711,456,-28,0,115,6068,4804,5.9765625,6.15234375,25.6640625,5.9765625
930,930,741,592,7,0,84,2529,1752,3.515625,3.69140625,9.84375,3.515625
931,931,682,596,-22,0,68,3175,1976,3.1640625,3.33984375,11.953125,3.1640625
932,932,513,577,34,0,92,12187,13354,9.140625,9.31640625,17.578125,9.140625
933,933,660,636,-37,0,-97,12774,13206,10.546875,10.72265625,20.0390625,10.546875
934,934,635,602,29,0,-178,3581,4281,5.44921875,5.625,26.71875,5.44921875
935,935,729,619,-49,0,-48,12042,10667,9.140625,9.31640625,11.25,9.140625
936,936,637,708,-32,0,72,11346,11696,7.55859375,7.734375,23.5546875,7.55859375
937,937,626,731,-46,0,-65,13142,12128,8.0859375,8.26171875,11.77734375,8.0859375
938,938,662,613,14,0,-151,3611,3473,5.09765625,5.2734375,29.1796875,5.09765625
939,939,489,503,12,0,-55,1341,2662,-1.0,0.703125,6.50390625,-1.0
940,940,720,620,-60,0,13,6219,5297,4.39453125,4.5703125,8.61328125,4.39453125
941,941,655,469,6,0,159,2154,2698,4.921875,5.09765625,23.90625,4.921875
942,942,603,489,-6,0,-22,9106,9966,6.85546875,7.03125,10.01953125,6.85546875
943,943,673,613,-17,0,-163,10549,9485,9.140625,9.31640625,34.62890625,9.140625
944,944,528,452,3,0,-161,6016,5600,5.9765625,6.15234375,26.71875,5.9765625
945,945,588,565,-22,0,-118,5267,4406,4.39453125,4.5703125,17.9296875,4.39453125
946,946,490,723,-6,0,106,10520,10606,5.80078125,5.9765625,26.54296875,5.80078125
947,947,534,517,-40,0,-100,4655,5290,3.69140625,3.8671875,9.4921875,3.69140625
948,948,561,483,34,0,-31,8381,9584,6.328125,6.50390625,11.77734375,6.328125
949,949,474,692,46,0,83,4898,3485,-1.0,0.703125,-1.0,-1.0
950,950,468,686,39,0,44,7770,8808,-1.0,0.703125,-1.0,-1.0
951,951,580,655,-49,0,2,2747,2610,2.28515625,2.4609375,2.98828125,2.28515625
952,952,465,718,-19,0,-164,6175,6597,4.921875,5.09765625,29.1796875,4.921875
953,953,532,721,-40,0,17,4190,4090,2.109375,2.28515625,3.33984375,2.109375
954,954,502,673,-22,0,-53,4003,3368,1.93359375,2.109375,4.04296875,1.93359375
955,955,658,501,46,0,41,3140,2109,-1.0,0.703125,-1.0,-1.0
956,956,676,741,10,0,-150,8611,8415,7.3828125,7.55859375,36.5625,7.3828125
957,957,573,661,32,0,-152,2544,2134,4.921875,5.09765625,27.94921875,4.921875
958,958,671,474,-6,0,-73,4587,6089,4.74609375,4.921875,11.953125,4.74609375
959,959,707,516,-46,0,18,5345,6369,4.921875,5.09765625,9.140625,4.921875
960,960,664,573,-43,0,146,12758,12489,14.765625,14.94140625,32.51953125,14.765625
961,961,581,599,-16,0,-102,2263,3699,3.1640625,3.33984375,10.8984375,3.1640625
962,962,460,567,-12,0,50,4729,4615,2.4609375,2.63671875,7.20703125,2.4609375
963,963,574,537,17,0,113,9921,9019,7.20703125,7.3828125,23.5546875,7.20703125
964,964,628,513,33,0,105,8867,7473,6.50390625,6.6796875,16.875,6.50390625
965,965,582,636,-21,0,33,9840,9116,4.921875,5.09765625,10.546875,4.921875
966,966,574,614,-45,0,98,4790,4715,3.515625,3.69140625,23.5546875,3.515625
967,967,497,630,53,0,-149,9891,10165,6.6796875,6.85546875,28.30078125,6.6796875
968,968,496,729,-37,0,127,6402,4957,3.8671875,4.04296875,30.05859375,3.8671875
969,969,711,628,50,0,-22,8659,7399,5.625,5.80078125,11.07421875,5.625
970,970,579,714,-52,0,119,5114,4150,3.33984375,3.515625,28.30078125,3.33984375
971,971,626,747,-28,0,82,8535,8416,5.09765625,5.2734375,23.37890625,5.09765625
972,972,665,507,-9,0,16,6325,5680,4.5703125,4.74609375,7.3828125,4.5703125
973,973,501,727,-11,0,-64,3107,3216,1.7578125,1.93359375,4.921875,1.7578125
974,974,716,734,0,0,99,7892,9197,5.9765625,6.15234375,24.609375,5.9765625
