BL_Speed,RD_Speed,rad,RD_Hdg,BL_Alt,RD_Alt,aspect_angle,abs_aspect,aspect_sin,aspect_cos,alt_diff,alt_mean,speed_diff,speed_mean,target
750.000,750.000,0.000,137.000,304.800,304.800,-180.000,180.000,-0.000,-1.000,0.000,304.800,0.000,750.000,29.000
750.000,657.000,0.000,180.000,304.800,304.800,-180.000,180.000,-0.000,-1.000,0.000,304.800,0.000,750.000,30.000
750.000,750.000,0.000,129.000,304.800,10354.000,-180.000,180.000,-0.000,-1.000,0.000,304.800,0.000,750.000,29.000
