idx,rho_top3,abs_err
661,-0.09999999999999999,0.13963890075683594
635,-0.7714285714285715,0.04428672790527344
788,-0.20519567041703082,0.6655941009521484
588,1.0,0.8474645614624023
757,-0.3,1.3355140686035156
416,-0.20519567041703082,1.6944332122802734
792,-0.09999999999999999,1.8461990356445312
297,-0.09999999999999999,1.157973289489746
626,-0.7142857142857143,0.025058746337890625
733,-0.09999999999999999,0.23765182495117188
260,-0.6377481392176932,1.5009727478027344
766,-0.6,0.5911598205566406
323,-0.09999999999999999,1.6820707321166992
373,-0.19999999999999998,1.2749080657958984
184,0.19999999999999998,0.23225975036621094
530,0.39999999999999997,0.031172752380371094
367,-0.39999999999999997,1.778707504272461
174,0.39999999999999997,0.2163848876953125
128,0.19999999999999998,1.3766899108886719
596,1.0,0.40216636657714844
70,1.0,0.7024345397949219
638,-0.6,0.18190479278564453
432,0.39999999999999997,0.30434560775756836
537,1.0,0.980712890625
104,0.7999999999999999,0.6582584381103516
377,-0.20519567041703082,2.6258544921875
772,-0.7714285714285715,0.27805137634277344
425,-0.20519567041703082,1.2682056427001953
338,-0.6,1.0472145080566406
385,-0.6,0.5835647583007812
458,0.7999999999999999,0.6824636459350586
267,-0.6,1.4634456634521484
61,1.0,1.2953376770019531
482,1.0,0.2790672779083252
339,-0.6,0.17585372924804688
803,-0.09999999999999999,0.08151435852050781
592,1.0,0.18583202362060547
152,1.0,2.439525604248047
545,1.0,1.4279441833496094
96,1.0,2.0454235076904297
319,-0.09999999999999999,1.6684207916259766
392,-0.3,1.4060993194580078
63,1.0,2.946338653564453
569,0.39999999999999997,1.1953811645507812
725,-0.49999999999999994,0.09447383880615234
702,-0.09999999999999999,0.12264633178710938
280,-0.20519567041703082,1.7121906280517578
306,-0.09999999999999999,1.4220552444458008
213,0.39999999999999997,0.1191253662109375
747,-0.09999999999999999,0.9182376861572266
555,1.0,0.7336196899414062
593,1.0,1.2150459289550781
49,0.19999999999999998,0.32195091247558594
292,-0.19999999999999998,1.673776626586914
275,-0.09999999999999999,2.748647689819336
52,0.39999999999999997,0.5308265686035156
65,1.0,0.9500732421875
348,-0.6,0.4204072952270508
727,-0.7142857142857143,1.3301267623901367
610,-0.09999999999999999,1.114180564880371
149,1.0,0.7360038757324219
488,1.0,0.7982373237609863
544,1.0,0.6454362869262695
589,1.0,0.29623889923095703
632,-0.6,0.6568412780761719
640,-0.7142857142857143,0.21577835083007812
489,1.0,0.08332312107086182
122,0.39999999999999997,0.3956642150878906
805,-0.19999999999999998,1.744527816772461
344,-0.7142857142857143,0.6766147613525391
542,1.0,2.4394006729125977
34,0.39999999999999997,1.8587837219238281
138,1.0,0.29822540283203125
517,0.39999999999999997,0.17394638061523438
286,-0.20519567041703082,2.6371898651123047
698,-0.19999999999999998,0.41414833068847656
328,-0.19999999999999998,0.7726058959960938
549,1.0,0.29688167572021484
682,-0.09999999999999999,1.0290460586547852
809,-0.49999999999999994,1.4149837493896484
